ags,name,bundesland_id,bundesland,bevoelkerung_total,bevoelkerung_maennlich,bevoelkerung_weiblich,mj_wohnort_insgesamt,mj_wohnort_ausschliesslich,mj_wohnort_nebenjob,mj_arbeitsort_insgesamt,mj_arbeitsort_ausschliesslich,mj_arbeitsort_nebenjob,mj_wohnort_insgesamt_prozent,mj_wohnort_ausschliesslich_prozent,mj_wohnort_nebenjob_prozent,mj_arbeitsort_insgesamt_prozent,mj_arbeitsort_ausschliesslich_prozent,mj_arbeitsort_nebenjob_prozent
12072169,"Jüterbog, Stadt",12,Brandenburg,12314,6009,6305,634,479,155,625,487,138,5.1,3.9,1.3,5.1,4.0,1.1
12072232,"Luckenwalde, Stadt",12,Brandenburg,20358,9890,10468,1029,753,276,1007,773,234,5.1,3.7,1.4,4.9,3.8,1.1
12072240,"Ludwigsfelde, Stadt",12,Brandenburg,25030,12396,12634,1377,848,529,1141,711,430,5.5,3.4,2.1,4.6,2.8,1.7
12072297,Niedergörsdorf,12,Brandenburg,6084,3130,2954,256,192,64,138,97,41,4.2,3.2,1.1,2.3,1.6,0.7
12072298,Niederer Fläming,12,Brandenburg,3160,1637,1523,122,88,34,61,41,20,3.9,2.8,1.1,1.9,1.3,0.6
12072312,Nuthe-Urstromtal,12,Brandenburg,6703,3461,3242,315,215,100,166,109,57,4.7,3.2,1.5,2.5,1.6,0.9
12072340,Rangsdorf,12,Brandenburg,10848,5308,5540,547,363,184,465,328,137,5.0,3.3,1.7,4.3,3.0,1.3
12072426,"Trebbin, Stadt",12,Brandenburg,9394,4757,4637,532,384,148,491,368,123,5.7,4.1,1.6,5.2,3.9,1.3
12072477,"Zossen, Stadt",12,Brandenburg,17905,8888,9017,928,632,296,917,615,302,5.2,3.5,1.7,5.1,3.4,1.7
12072053,"Dahme/Mark, Stadt",12,Brandenburg,5073,2516,2557,260,179,81,202,148,54,5.1,3.5,1.6,4.0,2.9,1.1
12072055,Dahmetal,12,Brandenburg,488,251,237,20,13,7,17,12,5,4.1,2.7,1.4,3.5,2.5,1.0
12072157,Ihlow,12,Brandenburg,705,372,333,36,23,13,22,15,7,5.1,3.3,1.8,3.1,2.1,1.0
12073008,"Angermünde, Stadt",12,Brandenburg,13805,6633,7172,719,578,141,480,384,96,5.2,4.2,1.0,3.5,2.8,0.7
12073069,Boitzenburger Land,12,Brandenburg,3213,1651,1562,177,120,57,172,120,52,5.5,3.7,1.8,5.4,3.7,1.6
12073384,"Lychen, Stadt",12,Brandenburg,3135,1519,1616,172,130,42,144,103,41,5.5,4.1,1.3,4.6,3.3,1.3
12073429,Nordwestuckermark,12,Brandenburg,4288,2175,2113,218,182,36,122,100,22,5.1,4.2,0.8,2.8,2.3,0.5
12073452,"Prenzlau, Stadt",12,Brandenburg,19275,9337,9938,869,700,169,1040,828,212,4.5,3.6,0.9,5.4,4.3,1.1
12073532,"Schwedt/Oder, Stadt",12,Brandenburg,30262,14547,15715,1401,1158,243,1591,1328,263,4.6,3.8,0.8,5.3,4.4,0.9
12073572,"Templin, Stadt",12,Brandenburg,16067,7849,8218,785,605,180,861,635,226,4.9,3.8,1.1,5.4,4.0,1.4
12073579,Uckerland,12,Brandenburg,2740,1399,1341,99,74,25,70,49,21,3.6,2.7,0.9,2.6,1.8,0.8
12073085,"Brüssow, Stadt",12,Brandenburg,1876,935,941,79,66,13,64,55,9,4.2,3.5,0.7,3.4,2.9,0.5
12073093,Carmzow-Wallmow,12,Brandenburg,634,337,297,37,27,10,30,23,7,5.8,4.3,1.6,4.7,3.6,1.1
12073216,Göritz,12,Brandenburg,780,377,403,34,21,13,31,20,11,4.4,2.7,1.7,4.0,2.6,1.4
12073490,Schenkenberg,12,Brandenburg,600,301,299,39,24,15,34,27,7,6.5,4.0,2.5,5.7,4.5,1.2
12073520,Schönfeld,12,Brandenburg,615,317,298,31,25,6,13,9,4,5.0,4.1,1.0,2.1,1.5,0.7
12073097,Casekow,12,Brandenburg,1893,957,936,86,70,16,53,46,7,4.5,3.7,0.8,2.8,2.4,0.4
12073189,"Gartz (Oder), Stadt",12,Brandenburg,2478,1214,1264,102,74,28,98,83,15,4.1,3.0,1.1,4.0,3.3,0.6
12073309,Hohenselchow-Groß Pinnow,12,Brandenburg,817,413,404,36,30,6,36,-1,-1,4.4,3.7,0.7,4.4,,
12073393,Mescherin,12,Brandenburg,786,417,369,33,25,8,14,-1,-1,4.2,3.2,1.0,1.8,,
12073565,Tantow,12,Brandenburg,763,378,385,31,26,5,10,10,n/a,4.1,3.4,0.7,1.3,1.3,
12073157,Flieth-Stegelitz,12,Brandenburg,546,280,266,28,21,7,27,19,8,5.1,3.8,1.3,4.9,3.5,1.5
12073201,Gerswalde,12,Brandenburg,1604,848,756,78,65,13,59,48,11,4.9,4.1,0.8,3.7,3.0,0.7
12073396,Milmersdorf,12,Brandenburg,1466,785,681,65,51,14,28,-1,-1,4.4,3.5,1.0,1.9,,
12073404,Mittenwalde,12,Brandenburg,372,194,178,21,15,6,11,-1,-1,5.6,4.0,1.6,3.0,,
12073569,Temmen-Ringenwalde,12,Brandenburg,548,286,262,16,13,3,11,-1,-1,2.9,2.4,0.5,2.0,,
12073225,Gramzow,12,Brandenburg,1901,956,945,115,85,30,127,107,20,6.0,4.5,1.6,6.7,5.6,1.1
12073261,Grünow,12,Brandenburg,941,481,460,52,42,10,18,14,4,5.5,4.5,1.1,1.9,1.5,0.4
12073430,Oberuckersee,12,Brandenburg,1698,870,828,89,75,14,70,55,15,5.2,4.4,0.8,4.1,3.2,0.9
