ags,name,bundesland,bundesland_id,bevoelkerung_total,bevoelkerung_maennlich,bevoelkerung_weiblich,minijobber_total,minijobber_maennlich,minijobber_weiblich,minijobber_total_prozent,minijobber_maennlich_prozent,minijobber_weiblich_prozent,bevoelkerung_ueber_65_jahre,bevoelkerung_unter_25_jahre,bevoelkerung_unter_35_jahre,bevoelkerung_unter_45_jahre,bevoelkerung_unter_55_jahre,bevoelkerung_unter_65_jahre,minijobber_ueber_65_jahre,minijobber_ueber_65_jahre_prozent,minijobber_unter_25_jahre,minijobber_unter_25_jahre_prozent,minijobber_unter_35_jahre,minijobber_unter_35_jahre_prozent,minijobber_unter_45_jahre,minijobber_unter_45_jahre_prozent,minijobber_unter_55_jahre,minijobber_unter_55_jahre_prozent,minijobber_unter_65_jahre,minijobber_unter_65_jahre_prozent
13003,Rostock,Mecklenburg-Vorpommern,13,206011,101078,104933,14045,6670,7375,6.8,6.6,7.0,47633.0,19848.0,37010.0,22650.0,27618.0,27339.0,1834,0.9,3400,1.7,3443,1.7,1393,0.7,1698,0.8,2277,1.1
13004,Schwerin,Mecklenburg-Vorpommern,13,96800,47028,49772,7077,3208,3869,7.3,6.8,7.8,23185.0,8540.0,13690.0,11043.0,13565.0,14296.0,1373,1.4,950,1.0,999,1.0,892,0.9,1185,1.2,1678,1.7
13071,Mecklenburgische Seenplatte,Mecklenburg-Vorpommern,13,262517,129182,133335,12917,5708,7209,4.9,4.4,5.4,62217.0,17985.0,30175.0,28592.0,43924.0,47704.0,2130,0.8,1300,0.5,1575,0.6,1513,0.6,2483,0.9,3916,1.5
13072,Landkreis Rostock,Mecklenburg-Vorpommern,13,213473,106674,106799,13648,5974,7674,6.4,5.6,7.2,47015.0,13933.0,23662.0,24561.0,38414.0,37933.0,2318,1.1,2622,1.2,1551,0.7,1451,0.7,2365,1.1,3341,1.6
13073,Vorpommern-Rügen,Mecklenburg-Vorpommern,13,224820,110885,113935,11835,5495,6340,5.3,5.0,5.6,54839.0,15291.0,26196.0,24602.0,37897.0,39412.0,2036,0.9,1561,0.7,1659,0.7,1347,0.6,2102,0.9,3130,1.4
13074,Nordwestmecklenburg,Mecklenburg-Vorpommern,13,156270,77871,78399,8723,3838,4885,5.6,4.9,6.2,34225.0,11651.0,19440.0,18320.0,26521.0,26015.0,1338,0.9,1507,1.0,1342,0.9,1042,0.7,1512,1.0,1982,1.3
13075,Vorpommern-Greifswald,Mecklenburg-Vorpommern,13,238358,117353,121005,12290,5470,6820,5.2,4.7,5.6,55324.0,18638.0,30887.0,25492.0,37804.0,41518.0,1648,0.7,1808,0.8,2317,1.0,1468,0.6,2053,0.9,2996,1.3
13076,Ludwigslust-Parchim,Mecklenburg-Vorpommern,13,214113,107761,106352,12585,5883,6702,5.9,5.5,6.3,46660.0,15535.0,24821.0,24259.0,38003.0,38286.0,2105,1.0,2346,1.1,1529,0.7,1509,0.7,2145,1.0,2951,1.4
