rs,name,bundesland,bundesland_id,bevoelkerung_total,bevoelkerung_maennlich,bevoelkerung_weiblich,minijobber_total,minijobber_maennlich,minijobber_weiblich,minijobber_total_prozent,minijobber_maennlich_prozent,minijobber_weiblich_prozent
04011,Bremen,Bremen,04,557464,274119,283345,60396,26088,34308,10.8,9.5,12.1
04012,Bremerhaven,Bremen,04,114025,56776,57249,10774,4384,6390,9.4,7.7,11.2
