ags,name,bundesland,bundesland_id,bevoelkerung_total,bevoelkerung_maennlich,bevoelkerung_weiblich,minijobber_total,minijobber_maennlich,minijobber_weiblich,minijobber_total_prozent,minijobber_maennlich_prozent,minijobber_weiblich_prozent,bevoelkerung_ueber_65_jahre,bevoelkerung_unter_25_jahre,bevoelkerung_unter_35_jahre,bevoelkerung_unter_45_jahre,bevoelkerung_unter_55_jahre,bevoelkerung_unter_65_jahre,minijobber_ueber_65_jahre,minijobber_ueber_65_jahre_prozent,minijobber_unter_25_jahre,minijobber_unter_25_jahre_prozent,minijobber_unter_35_jahre,minijobber_unter_35_jahre_prozent,minijobber_unter_45_jahre,minijobber_unter_45_jahre_prozent,minijobber_unter_55_jahre,minijobber_unter_55_jahre_prozent,minijobber_unter_65_jahre,minijobber_unter_65_jahre_prozent
08235,Calw,Baden-Württemberg,08,155359,77683,77676,15014,5829,9185,9.7,7.5,11.8,31408.0,18076.0,17447.0,18374.0,26148.0,22077.0,1860,1.2,2374,1.5,2213,1.4,2696,1.7,3303,2.1,2568,1.7
08236,Enzkreis,Baden-Württemberg,08,196066,97100,98966,17138,6798,10340,8.7,7.0,10.4,40429.0,22448.0,21623.0,23001.0,34322.0,27227.0,2289,1.2,2966,1.5,2281,1.2,2740,1.4,3948,2.0,2914,1.5
08237,Freudenstadt,Baden-Württemberg,08,116233,57866,58367,13447,5116,8331,11.6,8.8,14.3,23290.0,13789.0,13388.0,13598.0,19634.0,16368.0,1852,1.6,2375,2.0,1734,1.5,2282,2.0,3011,2.6,2193,1.9
08311,Freiburg im Breisgau,Baden-Württemberg,08,226393,107913,118480,31810,13279,18531,14.1,12.3,15.6,36414.0,33305.0,43014.0,28067.0,31062.0,24501.0,2978,1.3,9059,4.0,7309,3.2,3905,1.7,4702,2.1,3857,1.7
08315,Breisgau-Hochschwarzwald,Baden-Württemberg,08,257343,126585,130758,30895,12196,18699,12.0,9.6,14.3,53921.0,29297.0,28805.0,29847.0,43273.0,35927.0,3947,1.5,6453,2.5,4722,1.8,4850,1.9,6032,2.3,4891,1.9
08316,Emmendingen,Baden-Württemberg,08,162082,79920,82162,18966,7725,11241,11.7,9.7,13.7,32497.0,18195.0,18499.0,19141.0,27956.0,23050.0,2439,1.5,3994,2.5,2849,1.8,2834,1.7,3823,2.4,3027,1.9
08317,Ortenaukreis,Baden-Württemberg,08,420106,208393,211713,51033,20221,30812,12.1,9.7,14.6,84647.0,47495.0,49836.0,48905.0,70472.0,59585.0,6671,1.6,10255,2.4,7251,1.7,7899,1.9,10409,2.5,8546,2.0
08325,Rottweil,Baden-Württemberg,08,137500,68504,68996,16893,6931,9962,12.3,10.1,14.4,28506.0,15918.0,15661.0,15913.0,23142.0,18842.0,2478,1.8,3104,2.3,2294,1.7,2668,1.9,3520,2.6,2829,2.1
08326,Schwarzwald-Baar-Kreis,Baden-Württemberg,08,209648,103904,105744,26009,10957,15052,12.4,10.5,14.2,45667.0,24182.0,25823.0,23609.0,33040.0,29021.0,3460,1.7,5762,2.7,3785,1.8,3984,1.9,4931,2.4,4087,1.9
08327,Tuttlingen,Baden-Württemberg,08,136606,68387,68219,16650,7128,9522,12.2,10.4,14.0,26366.0,16141.0,17188.0,16671.0,21628.0,18170.0,2337,1.7,3681,2.7,2374,1.7,2608,1.9,3037,2.2,2613,1.9
08335,Konstanz,Baden-Württemberg,08,280288,136421,143867,35366,14539,20827,12.6,10.7,14.5,57413.0,36562.0,35668.0,31756.0,45616.0,35964.0,4567,1.6,9730,3.5,5060,1.8,4502,1.6,6500,2.3,5007,1.8
08336,Lörrach,Baden-Württemberg,08,226708,110935,115773,22463,8084,14379,9.9,7.3,12.4,44960.0,25521.0,27263.0,27011.0,38837.0,30873.0,2997,1.3,4453,2.0,3066,1.4,3260,1.4,4708,2.1,3978,1.8
08337,Waldshut,Baden-Württemberg,08,167861,83106,84755,17275,6263,11012,10.3,7.5,13.0,34326.0,19214.0,19696.0,19363.0,27484.0,23499.0,2494,1.5,2977,1.8,2262,1.3,2724,1.6,3720,2.2,3098,1.8
08415,Reutlingen,Baden-Württemberg,08,282113,139634,142479,31541,12540,19001,11.2,9.0,13.3,56836.0,33099.0,34576.0,34262.0,46784.0,37522.0,4042,1.4,5773,2.0,4644,1.6,5155,1.8,6763,2.4,5164,1.8
08416,Tübingen,Baden-Württemberg,08,221837,108268,113569,24680,9856,14824,11.1,9.1,13.1,36722.0,32412.0,33832.0,25986.0,34157.0,27993.0,2359,1.1,7169,3.2,4540,2.0,3131,1.4,4190,1.9,3290,1.5
08417,Zollernalbkreis,Baden-Württemberg,08,188595,93608,94987,20043,8297,11746,10.6,8.9,12.4,40210.0,21797.0,21744.0,21479.0,31434.0,26677.0,2684,1.4,3380,1.8,3088,1.6,3140,1.7,4367,2.3,3384,1.8
08421,Ulm,Baden-Württemberg,08,122636,60400,62236,25204,10686,14518,20.6,17.7,23.3,22707.0,15735.0,20237.0,16103.0,17395.0,13970.0,2118,1.7,7531,6.1,4592,3.7,3974,3.2,4070,3.3,2919,2.4
08425,Alb-Donau-Kreis,Baden-Württemberg,08,192104,96733,95371,18984,7784,11200,9.9,8.0,11.7,35998.0,23275.0,23039.0,23609.0,32112.0,25537.0,2569,1.3,2990,1.6,2707,1.4,3312,1.7,4164,2.2,3242,1.7
08426,Biberach,Baden-Württemberg,08,194019,97540,96479,23044,9282,13762,11.9,9.5,14.3,34995.0,23397.0,24168.0,24129.0,32051.0,25992.0,2900,1.5,4106,2.1,3522,1.8,3959,2.0,4856,2.5,3701,1.9
08435,Bodenseekreis,Baden-Württemberg,08,212201,104569,107632,25017,9143,15874,11.8,8.7,14.7,46509.0,23904.0,24844.0,25185.0,34904.0,28304.0,3452,1.6,4968,2.3,3558,1.7,4037,1.9,5140,2.4,3862,1.8
08436,Ravensburg,Baden-Württemberg,08,279296,138713,140583,37949,14873,23076,13.6,10.7,16.4,53535.0,34581.0,34616.0,33945.0,46001.0,36370.0,4734,1.7,8155,2.9,5675,2.0,5979,2.1,7732,2.8,5674,2.0
08437,Sigmaringen,Baden-Württemberg,08,130772,65635,65137,14916,6032,8884,11.4,9.2,13.6,25355.0,16738.0,15633.0,14870.0,21874.0,17848.0,2046,1.6,2863,2.2,2158,1.7,2265,1.7,3054,2.3,2530,1.9
